food_id,protein,fat,endorsement
207,25.9,32.8,Premium Food
362,0.3,0.098,Low Fat
1212,0.0,11.7,Premium Food
2171,7.8,4.0,Low Fat
1021,0.5,0.5,Low Fat
819,0.3,0.008,Low Fat
657,0.5,0.2,Low Fat
2266,2.4,0.5,Low Fat
686,12.6,5.3,Moderate Food
2373,2.2,9.3,Moderate Food
1546,0.0,13.6,Premium Food
474,2.7,0.3,Low Fat
511,0.0,2.9,Low Fat
803,0.062,0.099,Low Fat
1160,0.0,10.6,Premium Food
2042,0.7,0.1,Low Fat
1238,6.1,1.7,Low Fat
346,5.2,12.4,Premium Food
1154,1.0,0.2,Low Fat
576,0.1,0.07,Low Fat
1175,5.2,1.3,Low Fat
1069,1.0,0.3,Low Fat
2166,0.8,1.0,Low Fat
1804,0.058,0.046,Low Fat
2093,0.0,13.6,Premium Food
692,4.3,7.3,Moderate Food
2305,47.2,1.7,Low Fat
981,0.0,6.0,Moderate Food
926,2.1,4.2,Low Fat
502,0.9,1.7,Low Fat
2238,0.071,0.017,Low Fat
2208,12.1,3.1,Low Fat
206,2.2,0.2,Low Fat
1940,0.052,3.8,Low Fat
424,0.0,12.8,Premium Food
1093,0.8,0.4,Low Fat
1577,6.2,4.5,Low Fat
1267,2.4,2.4,Low Fat
817,0.4,0.2,Low Fat
1817,25.2,34.1,Premium Food
480,0.2,0.094,Low Fat
834,19.4,3.0,Low Fat
147,2.8,8.8,Moderate Food
1098,59.0,42.2,Premium Food
1348,0.09,0.9,Low Fat
2020,4.3,0.3,Low Fat
244,1.1,0.5,Low Fat
771,2.4,2.2,Low Fat
596,13.9,64.7,Premium Food
2175,28.8,7.8,Moderate Food
2349,23.6,1.7,Low Fat
346,5.2,12.4,Premium Food
404,4.7,8.7,Moderate Food
1292,0.5,0.7,Low Fat
1608,39.9,12.8,Premium Food
1441,0.0,13.5,Premium Food
2016,1.9,0.013,Low Fat
260,2.4,0.5,Low Fat
2227,61.2,19.4,Premium Food
2344,35.4,48.4,Premium Food
2109,20.0,11.9,Premium Food
149,83.6,86.5,Premium Food
1243,3.4,4.3,Low Fat
24,2.0,5.7,Moderate Food
2257,3.8,0.6,Low Fat
545,38.8,2.5,Low Fat
252,1.6,0.6,Low Fat
1718,2.5,1.4,Low Fat
2304,17.4,0.6,Low Fat
267,6.7,1.1,Low Fat
1981,11.8,3.1,Low Fat
537,0.1,0.044,Low Fat
603,9.6,4.2,Low Fat
308,1.9,0.019,Low Fat
1431,0.5,1.3,Low Fat
1020,0.0,3.0,Low Fat
929,3.5,8.2,Moderate Food
2246,0.0,13.6,Premium Food
1888,0.0,12.8,Premium Food
909,8.6,10.1,Premium Food
2363,0.9,0.1,Low Fat
2021,0.045,0.059,Low Fat
1640,3.9,9.6,Moderate Food
1613,1.8,0.3,Low Fat
219,18.0,33.6,Premium Food
1089,2.9,10.6,Premium Food
1078,0.0,0.043,Low Fat
1133,0.5,0.026,Low Fat
582,0.1,5.3,Moderate Food
1088,4.6,0.3,Low Fat
292,13.6,11.2,Premium Food
2222,69.8,35.0,Premium Food
